811,36,20,6451,756,17,19,6448,744,112,27,6460,770,24,23,6481,787,20,15,6470,780,23,27,6448,4.4602,1.6466,-0.74671,0.999
810,38,30,6451,756,17,23,6447,744,112,27,6460,772,25,22,6482,787,18,20,6471,779,26,24,6449,4.4127,1.4801,-0.82388,0.999
812,37,23,6451,756,17,27,6448,744,114,28,6460,770,28,23,6482,788,21,21,6470,778,27,25,6448,4.3799,1.3483,-0.79358,0.999
811,38,27,6451,756,18,19,6449,744,108,26,6460,771,27,22,6482,787,14,16,6470,779,24,24,6448,4.3453,1.2225,-0.78292,0.99851
810,36,24,6451,756,17,28,6448,744,113,28,6460,770,25,25,6481,788,20,24,6470,779,23,24,6449,4.3276,1.1201,-0.73766,0.99549
812,34,22,6450,756,18,19,6448,744,113,27,6460,771,25,22,6482,788,17,23,6470,778,31,25,6448,4.3076,0.97565,-0.73443,0.98793
811,37,28,6451,756,17,23,6449,744,115,27,6459,770,26,23,6483,788,21,13,6471,779,28,25,6448,4.2953,0.81613,-0.73155,0.98793
811,37,23,6450,756,18,27,6448,744,112,28,6460,770,26,23,6482,788,17,21,6471,779,26,25,6448,4.2863,0.70867,-0.72895,0.98601
811,37,25,6452,756,17,18,6448,744,113,27,6460,770,27,19,6482,788,16,23,6471,779,25,25,6448,4.2709,0.57696,-0.79327,0.986
811,37,24,6450,756,16,29,6448,744,113,29,6459,771,25,23,6483,790,21,20,6470,779,21,25,6449,4.2024,0.47351,-0.8577,0.98592
812,37,23,6450,756,17,21,6448,744,112,27,6460,770,25,23,6482,788,17,23,6469,778,24,25,6448,4.1526,0.36117,-0.79271,0.98592
811,38,27,6451,756,16,23,6448,744,110,28,6460,770,26,22,6482,789,20,23,6470,778,27,25,6448,4.1346,0.27424,-0.73329,0.98592
811,37,23,6452,756,16,27,6447,744,113,27,6458,770,32,24,6481,789,17,22,6470,779,25,24,6448,4.1263,0.18763,-0.75694,0.98439
811,38,24,6450,756,16,19,6448,744,113,28,6460,771,32,20,6482,789,21,24,6470,780,24,27,6448,4.0834,0.069808,-0.83152,0.98439
811,37,23,6451,756,18,28,6448,744,115,28,6459,770,25,23,6481,790,17,20,6470,778,23,25,6448,4.0418,-0.028784,-0.83487,0.98439
811,38,25,6450,756,16,19,6448,744,116,26,6459,770,24,24,6482,790,21,18,6469,778,25,25,6448,3.9919,-0.10071,-0.81881,0.96858
810,37,28,6449,756,16,23,6449,744,113,27,6460,770,27,23,6481,790,16,24,6470,780,27,25,6448,3.9396,-0.27174,-0.80007,0.96858
811,38,20,6450,756,18,27,6448,744,117,28,6460,770,28,24,6480,790,23,23,6470,779,20,25,6448,3.8968,-0.37095,-0.79816,0.96858
811,34,25,6451,756,10,19,6448,744,114,27,6459,770,24,22,6482,790,17,23,6470,779,25,25,6447,3.8615,-0.50406,-0.76474,0.96858
811,38,23,6450,756,16,29,6448,744,114,28,6460,770,25,22,6481,790,20,19,6469,778,23,25,6448,3.8303,-0.63694,-0.81111,0.96858
811,37,24,6450,756,16,19,6448,744,114,27,6459,770,23,22,6482,790,17,17,6470,778,25,25,6449,3.7585,-0.78107,-0.8534,0.96858
811,36,27,6450,756,13,23,6446,744,113,28,6460,770,26,22,6482,790,20,19,6470,779,27,25,6448,3.7381,-0.82445,-0.82449,0.89796
811,38,20,6452,756,16,27,6449,744,116,28,6460,770,28,22,6482,790,17,23,6470,778,25,21,6447,3.6713,-1.0448,-0.78849,0.89796
811,39,25,6450,756,26,31,6448,744,114,27,6461,769,24,24,6482,790,20,21,6470,779,25,25,6448,3.6558,-1.112,-0.7782,0.85311
812,39,23,6451,756,18,19,6449,744,113,28,6460,769,25,22,6482,790,20,23,6470,779,23,25,6448,3.6197,-1.3649,-0.76066,0.85311
811,34,27,6451,756,17,23,6448,744,110,27,6459,770,26,23,6482,790,22,22,6471,779,24,25,6449,3.5991,-1.5046,-0.75035,0.85311
810,37,21,6451,756,18,27,6447,744,113,28,6459,769,27,22,6482,790,17,24,6470,780,16,25,6448,3.5827,-1.6607,-0.71979,0.85311
812,37,25,6451,756,17,21,6448,744,116,28,6460,768,28,23,6482,790,20,15,6470,779,25,24,6448,3.5603,-1.8191,-0.77308,0.85311
812,38,24,6450,756,18,27,6447,744,114,28,6460,769,20,21,6483,790,17,17,6470,780,21,25,6448,3.5216,-1.9397,-0.8288,0.85311
811,40,24,6450,754,16,19,6448,744,114,26,6459,768,23,23,6482,790,21,23,6470,779,23,25,6448,3.4922,-2.013,-0.82345,0.85311
